BARRIOS,SCA_AREA,DENSIDAD_NOCTURNA,DENSIDAD_BANCARIA,DENSIDAD_TIENDAS,DENSIDAD_PARQUES,ILUMINACION,PERSONAS,SEGURIDAD,SENDERO,TRANSPORTE
EL BATAN E-11,8.308361213081562e-05,4,1,20,5,322.4096331893993,48.719677904175896,15.404015807937968,330.6489904820173,201.3269042804916
BRITALIA E-11,6.541999981481122e-05,5,6,20,17,199.1806139519552,44.96838400878499,8.553768697323232,198.44743377789896,148.10239515936794
LA COLINA CAMPESTRE I SECTOR E-11,4.686612511621804e-05,0,0,16,1,145.78209723245982,41.55719165187607,4.912511473224966,151.22569102711452,98.78131178592906
ALCAZAR DE SUBA E-11,1.7488736680023233e-05,1,1,20,1,41.93143825871674,11.839464920108256,1.2497212971225382,41.93143825871674,29.828874118161632
NUEVO SUBA E-11,5.69052145933776e-05,20,20,20,10,136.43738458517802,38.52349682405027,4.066369109205306,136.43738458517802,97.05781005392664
SAN CARLOS TIBABUYES E-11,8.46160365301638e-06,1,1,20,0,27.832510908017625,12.800666630357542,0.4719798869293842,27.18890197129574,18.67896158575078
ANDES E-11,2.011973901097629e-05,11,7,20,0,41.939984244140085,12.745234732874906,2.4485918944932084,42.56782831965116,27.876276952691917
MAZUREN I SECTOR E-11,6.655418683192538e-05,2,5,20,7,207.02391998269812,59.01501544133381,6.976215882841377,214.75432136638725,140.27850315767526
SAN CAYETANO E-11,2.916765397602129e-05,15,2,20,1,100.11035610197784,33.68953041618197,1.9669037219028391,101.77465925128024,67.17732711729697
PONTEVEDRA II SECTOR E-11,6.917657761834217e-05,6,5,20,11,144.1999110323461,43.82123044845248,8.418857081229788,146.35859233522555,95.8454498478468
CANODROMO E-11,4.267966314717912e-05,11,9,20,2,132.75965929211412,37.844966628808486,4.47368615100931,137.7169871891785,89.95736476624126
SALITRE E-11,2.734832868642975e-05,2,5,20,3,65.571045912311,18.5141776693584,1.9542743095433868,65.571045912311,46.645442072522414
NIZA SUR I E-11,7.80453046218049e-05,1,3,20,4,224.0525019208883,39.51632594647662,3.926301616476844,231.01852091786333,157.17871954992785
ALTILLOS DE SUBA E-11,4.964836776510866e-05,5,2,20,4,170.40505832018852,57.34537982765034,3.3480087025125203,173.23798876077603,114.34737414735068
CASA BLANCA E-11,3.9620230203245474e-05,0,1,15,3,57.72859011761668,7.866821899795459,1.9667054749488648,57.38152444556688,38.639978154877696
ALTOS DEL RINCON E-11,1.4814884182469546e-05,7,2,20,1,50.84822153800439,17.111643318582836,0.9990330680010936,51.69355721092839,34.12082170711428
BRITALIA PORTALES DEL NORTE E-11,6.541999981481122e-05,5,6,20,17,199.1806139519552,44.96838400878499,8.553768697323232,198.44743377789896,148.10239515936794
SAN CIPRIANO E-11,6.541999981481122e-05,5,6,20,17,199.1806139519552,44.96838400878499,8.553768697323232,198.44743377789896,148.10239515936794
BOSQUE DE LA COLINA E-11,4.686612511621804e-05,0,0,16,1,145.78209723245982,41.55719165187607,4.912511473224966,151.22569102711452,98.78131178592906
SANTA HELENA E-11,4.686612511621804e-05,0,0,16,1,145.78209723245982,41.55719165187607,4.912511473224966,151.22569102711452,98.78131178592906
RINCON DE LA COLINA E-11,4.686612511621804e-05,0,0,16,1,145.78209723245982,41.55719165187607,4.912511473224966,151.22569102711452,98.78131178592906
LA SABANA DE TIBABUYES E-11,4.201207974527437e-05,9,7,20,8,138.18913243023673,63.5556390159619,2.343392276566193,134.99359750764646,92.74152464228632
SAN JOSE SPRING E-11,2.385118096070202e-05,0,7,20,4,72.61835647630569,16.39481913084693,3.118579725976318,72.35104964265058,53.995980398332826
MIRANDELA E-11,8.806913889383017e-05,12,20,20,11,191.6952752735457,26.15147899484664,8.141498177640935,173.93200652232906,78.2077249185508
TUNA ALTA E-11,4.922252735336564e-05,3,5,20,5,118.01717896600552,33.322497590401554,3.5173747456534974,118.01717896600552,83.9541814291506
PRADO VERANIEGO E-11,3.4931915384630124e-05,20,20,20,3,108.65946080436603,30.97487361727374,3.661566529837471,112.7168723644562,73.62717562700212
NUEVA TIBABUYES E-11,3.568526685170126e-05,4,9,20,1,117.37852771577606,53.984471893946335,1.990488907821485,114.66422465965584,78.77510647317756
CIUDADELA NVA TIBABUYES E-11,3.568526685170126e-05,4,9,20,1,117.37852771577606,53.984471893946335,1.990488907821485,114.66422465965584,78.77510647317756
NUEVA TIBABUYES I Y II SECTOR E-11,3.568526685170126e-05,4,9,20,1,117.37852771577606,53.984471893946335,1.990488907821485,114.66422465965584,78.77510647317756
SUBA CENTRO E-11,5.69052145933776e-05,20,20,20,10,136.43738458517802,38.52349682405027,4.066369109205306,136.43738458517802,97.05781005392664
CENTRO COM SUBA E-11,5.69052145933776e-05,20,20,20,10,136.43738458517802,38.52349682405027,4.066369109205306,136.43738458517802,97.05781005392664
SUBA URBANO E-11,5.69052145933776e-05,20,20,20,10,136.43738458517802,38.52349682405027,4.066369109205306,136.43738458517802,97.05781005392664
JULIO FLOREZ E-11,8.313824409194889e-05,13,20,20,20,173.30327423231392,52.665515971796,10.11800553152731,175.89763462501324,115.18960143584938
FLORESTA DE SUBA E-11,8.313824409194889e-05,13,20,20,20,173.30327423231392,52.665515971796,10.11800553152731,175.89763462501324,115.18960143584938
BERLIN E-11,1.0807439017526666e-05,15,3,20,5,35.548600085495394,16.349433235620953,0.6028282645536218,34.72656154292227,23.85738525778879
BERLIN SUBA E-11,1.0807439017526666e-05,15,3,20,5,35.548600085495394,16.349433235620953,0.6028282645536218,34.72656154292227,23.85738525778879
LAS FLORES E-11,4.641301072553492e-05,9,4,20,5,159.30054008862146,53.60844371748068,3.1298342888948296,161.948861409994,106.8958787899465
CAMPIÑA E-11,4.641301072553492e-05,9,4,20,5,159.30054008862146,53.60844371748068,3.1298342888948296,161.948861409994,106.8958787899465
TUNA BAJA E-11,3.8606751737686825e-05,0,0,20,0,92.56452632782562,26.13586625726841,2.7587858827116656,92.56452632782562,65.84786304261792
EL PINAR DE SUBA II SECTOR E-11,2.542151599157532e-05,1,1,20,4,60.95127096637746,17.209770625800694,1.8165868993900731,60.95127096637746,43.35906099333675
CAMPANELLA E-11,2.542151599157532e-05,1,1,20,4,60.95127096637746,17.209770625800694,1.8165868993900731,60.95127096637746,43.35906099333675
LOMBARDIA E-11,2.8109721967237307e-05,13,10,20,19,96.47928072587412,32.46758666241003,1.895562694362262,98.0832183903345,64.7407566382188
LA VICTORIA E-11,4.441699584419534e-05,20,8,20,8,127.51233523818254,22.48945652589765,2.2345293343039336,131.47682276678628,89.4532549635865
LA VICTORIA NORTE E-11,4.441699584419534e-05,20,8,20,8,127.51233523818254,22.48945652589765,2.2345293343039336,131.47682276678628,89.4532549635865
SANTA MARGARITA E-11,2.667819256719293e-05,5,10,20,2,103.5259067239641,15.643914793843464,4.946237765700507,106.17156878468764,64.64617730985314
PASADENA E-11,2.667819256719293e-05,5,10,20,2,103.5259067239641,15.643914793843464,4.946237765700507,106.17156878468764,64.64617730985314
LAGO DE SUBA E-11,2.001226145927553e-05,4,2,20,2,68.68686191700515,23.11477267534481,1.3495151711653404,69.82875936952966,46.0911335382624
NUEVO CORINTO E-11,2.001226145927553e-05,4,2,20,2,68.68686191700515,23.11477267534481,1.3495151711653404,69.82875936952966,46.0911335382624
COMPARTIR E-11,3.3551057571297465e-05,6,7,20,14,80.4428658744973,22.71327977632865,2.3975128652791358,80.4428658744973,57.22484654758357
BILBAO E-11,3.0185725198160468e-05,10,2,20,6,99.28904263256648,45.66479607201799,1.6837299110353,96.99304729933654,66.6348867821849
SAN JOSE DEL PRADO E-11,6.260707951659522e-05,20,20,20,19,194.74602030561792,55.51503128930639,6.562479737074557,202.0179573115654,131.95905201036405
ALCALA E-11,6.260707951659522e-05,20,20,20,19,194.74602030561792,55.51503128930639,6.562479737074557,202.0179573115654,131.95905201036405
CASIGUA E-11,6.260707951659522e-05,20,20,20,19,194.74602030561792,55.51503128930639,6.562479737074557,202.0179573115654,131.95905201036405
POTOSI E-11,6.917657761834217e-05,6,5,20,11,144.1999110323461,43.82123044845248,8.418857081229788,146.35859233522555,95.8454498478468
EL PLAN E-11,7.624066810257427e-05,2,11,20,13,111.08633787862831,15.138017987468388,3.784504496867097,110.41848414388706,74.35438246785944
LA GAITANA E-11,1.996271829528768e-05,15,7,20,20,65.66279838801162,30.19948846725098,1.1135006920885837,64.14438835334538,44.06763345053607
PUENTE LARGO E-11,4.7854129303114615e-05,13,20,20,10,185.7000662287383,28.061343341231566,8.872336497595274,190.4457345879172,115.95937468950105
PEPE VALL SERRA E-11,4.7854129303114615e-05,13,20,20,10,185.7000662287383,28.061343341231566,8.872336497595274,190.4457345879172,115.95937468950105
VILLA MARIA I E-11,1.44568216928638e-05,6,7,20,7,49.619265538640825,16.69807021653001,0.9748873330010036,50.44417020502629,33.29615198864966
EL POA E-11,4.220518326687374e-05,7,15,20,6,144.85827107210892,48.74827459756612,2.846081900157304,147.26649421839588,97.20464335921868
PORTAL DE SUBA E-11,4.220518326687374e-05,7,15,20,6,144.85827107210892,48.74827459756612,2.846081900157304,147.26649421839588,97.20464335921868
AURES II E-11,2.3619764222370176e-05,5,2,20,4,81.06867317097756,27.28154845250026,1.5927850144423803,82.4164143370442,54.39973433941668
TIBABUYES E-11,4.686358361519842e-05,4,7,20,8,112.36131567968071,31.72554795661573,3.3488078398649943,112.36131567968071,79.9307555462513
TIBABUYES I SECTOR E-11,4.686358361519842e-05,4,7,20,8,112.36131567968071,31.72554795661573,3.3488078398649943,112.36131567968071,79.9307555462513
RODESIA I ETAPA E-11,4.686358361519842e-05,4,7,20,8,112.36131567968071,31.72554795661573,3.3488078398649943,112.36131567968071,79.9307555462513
GRANADA NORTE E-11,2.6074070865554464e-05,13,7,20,15,79.38626502490634,17.92278866819971,3.409226105364076,79.09404564444655,59.02831485287514
GRANADA E-11,2.6074070865554464e-05,13,7,20,15,79.38626502490634,17.92278866819971,3.409226105364076,79.09404564444655,59.02831485287514
EL RINCON DE SUBA E-11,1.3054522460965744e-05,2,0,20,1,44.80623958933909,15.078371811424944,0.8803241027628335,45.55112921475379,30.066453971284467
RINCON DE SUBA E-11,1.3054522460965744e-05,2,0,20,1,44.80623958933909,15.078371811424944,0.8803241027628335,45.55112921475379,30.066453971284467
ALHAMBRA SECTOR NORTE E-11,8.654024211965014e-05,5,12,20,17,335.82323881137086,50.74662275371827,16.044888076543277,344.40538824766145,209.7029557911005
MONACO E-11,8.654024211965014e-05,5,12,20,17,335.82323881137086,50.74662275371827,16.044888076543277,344.40538824766145,209.7029557911005
AURES I E-11,1.8481246130964017e-05,8,1,20,3,63.43205157672698,21.34640325100938,1.246272046091865,64.48658946188164,42.56498372806063
PRADO PINZON E-11,4.542812217747866e-05,9,3,20,3,141.30903521344254,40.28208380856786,4.76177987513422,146.5856021021048,95.75038451621243
NIZA NORTE E-11,3.723071724571309e-05,9,20,20,5,106.8819628244571,18.850860599904248,1.8730021749904864,110.20503119944024,74.98050642461915
IBERIA E-11,5.055514906418844e-05,15,9,20,6,145.13374875918225,25.59735987160252,2.543327423139994,149.64610386475317,101.81513974570105
PINOS DE LOMBARDIA E-11,3.544721260012691e-05,18,19,20,7,84.98913522345131,23.996932298386252,2.533009520385216,84.98913522345131,60.45893776287871
LA FONTANA E-11,3.544721260012691e-05,18,19,20,7,84.98913522345131,23.996932298386252,2.533009520385216,84.98913522345131,60.45893776287871
EL ESTORIL E-11,4.264694316865791e-05,1,5,20,6,165.49335002439517,25.00788400368638,7.906904501165546,169.7226245250186,103.34140301523342
COSTA AZUL I Y II ETAPA E-11,2.016228415317525e-05,8,5,20,10,69.20177564033806,23.28805346485936,1.3596318639663396,70.3522333713865,46.43665750777345
PORTALES DEL NORTE E-11,6.639666269707436e-05,7,9,20,12,202.1542047967112,45.63972230993235,8.681468917650175,201.41007888948403,150.3134332598859
LOS PORTALES DEL NORTE I E-11,6.639666269707436e-05,7,9,20,12,202.1542047967112,45.63972230993235,8.681468917650175,201.41007888948403,150.3134332598859
VILLA DEL PRADO E-11,6.132086406250262e-05,15,16,20,6,133.47376917859955,18.20877674765966,5.668770119554422,121.10554346320812,54.4545493302652
LOS ALCAPARROS DE SUBA E-11,2.0354567675093197e-05,6,2,20,11,69.86173862082228,23.51014680035732,1.3725983910388255,71.02316802862435,46.87951427855681
VILLA MARIA II E-11,2.0354567675093197e-05,6,2,20,11,69.86173862082228,23.51014680035732,1.3725983910388255,71.02316802862435,46.87951427855681
VILLA ELISA E-11,3.906136412976361e-05,6,2,20,5,134.0679327886444,45.11706755809293,2.634080291565306,136.29676995843045,89.96397303499968
BOSQUES DE SUBA E-11,3.906136412976361e-05,6,2,20,5,134.0679327886444,45.11706755809293,2.634080291565306,136.29676995843045,89.96397303499968
SAN JORGE E-11,3.148329526258143e-05,0,0,5,1,90.38226074557012,15.940794433362282,1.583860985366124,93.19233668734871,63.40553170449549
LA CHUCUA NORTE E-11,2.192320190200724e-05,9,2,20,1,75.24566600761916,25.321967200548915,1.4783783245829456,76.4966015130355,50.49230585498676
SANTA ROSA E-11,7.034456648617865e-05,3,1,20,12,146.6346063674928,44.56111540808539,8.561002467563203,148.82973520532954,97.4637203999503
NUEVO MONTERREY E-11,7.034456648617865e-05,3,1,20,12,146.6346063674928,44.56111540808539,8.561002467563203,148.82973520532954,97.4637203999503
GILMAR E-11,5.05343034469108e-05,2,8,20,8,73.63092227381883,10.03387317559054,2.5084682938976357,73.18825139842512,49.28402412716531
CANTALEJO SECTOR ALEJANDRIA E-11,5.05343034469108e-05,2,8,20,8,73.63092227381883,10.03387317559054,2.5084682938976357,73.18825139842512,49.28402412716531
CANTALEJO E-11,5.05343034469108e-05,2,8,20,8,73.63092227381883,10.03387317559054,2.5084682938976357,73.18825139842512,49.28402412716531
ALTOS DE CHOZICA E-11,4.964836776510866e-05,5,2,20,4,170.40505832018852,57.34537982765034,3.3480087025125203,173.23798876077603,114.34737414735068
SAN JOSE DE BAVARIA E-11,0.0001755062796186,1,6,20,5,382.0149147170464,52.11529081081972,16.224571667519346,346.6158492606406,155.85421874556462
LA PUERTA DEL SOL E-11,2.481628457831303e-05,20,14,20,20,85.17541686092873,28.663565976372997,1.6734716662852498,86.59143134778549,57.15549383312699
EL SOLAR I E-11,2.481628457831303e-05,20,14,20,20,85.17541686092873,28.663565976372997,1.6734716662852498,86.59143134778549,57.15549383312699
POTRERILLOS DE SUBA E-11,6.466286298092876e-06,6,3,20,1,22.193839260833165,7.468757998104058,0.4360502424042788,22.562804850559864,14.892792894423062
ARRAYANES SUBA E-11,0.0003679837032791,0,0,7,0,30.21252103183265,0.9629488775086104,0.7222116581314578,4.5740071681659,4.5740071681659
FONTANAR DEL RIO B E-11,8.966692207993783e-05,11,2,20,14,294.9388424720873,135.6476176837195,5.001532272137143,288.11857119190023,197.93942870942752
LA TOSCANA E-11,2.004911095338655e-05,8,4,20,12,65.94696728760934,30.33018279671652,1.1183195891526765,64.42198602967386,44.258344952527125
GLORIA LARA DE ECHEVERRY II ETAPA E-11,1.3459933295048123e-05,4,0,20,1,46.19770641766038,15.546633696220216,0.907662745737408,46.96572874097664,31.000173777493007
CERROS DE SUBA II SECTOR E-11,0.0001057723210283,6,2,20,3,253.60239735028583,71.60538278125718,7.558345960243811,253.60239735028583,180.40578384055627
SAN JOSE DE BAVARIA V SECTOR E-11,2.385118096070202e-05,0,7,20,4,72.61835647630569,16.39481913084693,3.118579725976318,72.35104964265058,53.995980398332826
LA CHUCUA II SECTOR E-11,2.192320190200724e-05,9,2,20,1,75.24566600761916,25.321967200548915,1.4783783245829456,76.4966015130355,50.49230585498676
LAGOS DE SUBA E-11,2.001226145927553e-05,4,2,20,2,68.68686191700515,23.11477267534481,1.3495151711653404,69.82875936952966,46.0911335382624
PONTEVEDRA I SECTOR E-11,6.917657761834217e-05,6,5,20,11,144.1999110323461,43.82123044845248,8.418857081229788,146.35859233522555,95.8454498478468
PASTEURIZADORA DE LECHE DOLAY E-11,4.220518326687374e-05,7,15,20,6,144.85827107210892,48.74827459756612,2.846081900157304,147.26649421839588,97.20464335921868
EL RINCON E-11,2.158802068233457e-05,18,5,20,1,74.095243992612,24.93482266350872,1.4557755746659284,75.3270540942524,49.720335011667096
CIUDAD HUNZA E-11,1.986121041629349e-05,6,0,20,3,68.16841865396661,22.94030411125929,1.3393291322441805,69.30169715048092,45.743241132032
NIZA SUBA E-11,7.953917112722052e-05,10,2,20,12,228.3410946773149,40.27270861465362,4.001455022609815,235.44045036259044,160.18728009867036
LA AGUADITA E-11,7.953917112722052e-05,10,2,20,12,228.3410946773149,40.27270861465362,4.001455022609815,235.44045036259044,160.18728009867036
LA CAÑIZA SECTOR II E-11,7.811019087969998e-05,8,3,20,3,256.92561703851527,118.16465942932744,4.35690923035509,250.98437717894015,172.42798348011354
LAS MERCEDES E-11,5.15887273481426e-06,0,0,3,0,12.369044003706383,3.492435953987685,0.3686460173653668,12.369044003706383,8.798998361852307
JUAN AMARILLO E-11,4.4948352937079977e-05,1,0,20,4,154.27348467681827,51.91671927663205,3.031065945791392,156.8382327847956,103.52255999472138
LAGOS DE CORDOBA E-11,8.308361213081562e-05,4,1,20,5,322.4096331893993,48.719677904175896,15.404015807937968,330.6489904820173,201.3269042804916
BRITALIA ALTA E-11,6.541999981481122e-05,5,6,20,17,199.1806139519552,44.96838400878499,8.553768697323232,198.44743377789896,148.10239515936794
BURGOS (BRITALIA) E-11,6.541999981481122e-05,5,6,20,17,199.1806139519552,44.96838400878499,8.553768697323232,198.44743377789896,148.10239515936794
BRITALIA (SAN DIEGO) E-11,6.541999981481122e-05,5,6,20,17,199.1806139519552,44.96838400878499,8.553768697323232,198.44743377789896,148.10239515936794
COLINA LINDA E-11,4.686612511621804e-05,0,0,16,1,145.78209723245982,41.55719165187607,4.912511473224966,151.22569102711452,98.78131178592906
CLUB DE LOS LAGARTOS E-11,4.686612511621804e-05,0,0,16,1,145.78209723245982,41.55719165187607,4.912511473224966,151.22569102711452,98.78131178592906
LA COLINA CAMPESTRE II SECTOR E-11,4.686612511621804e-05,0,0,16,1,145.78209723245982,41.55719165187607,4.912511473224966,151.22569102711452,98.78131178592906
LA COLINA CAMPESTRE V SECTOR E-11,4.686612511621804e-05,0,0,16,1,145.78209723245982,41.55719165187607,4.912511473224966,151.22569102711452,98.78131178592906
URB. NUEVA ZELANDIA E-11,3.7578425821210464e-05,13,4,20,2,81.79490310252274,11.158635429687788,3.473914803582047,74.21545262198009,33.37063614350027
FINCA NUEVA ZELANDIA E-11,3.7578425821210464e-05,13,4,20,2,81.79490310252274,11.158635429687788,3.473914803582047,74.21545262198009,33.37063614350027
RESIDENCIAL SUBA E-11,1.7488736680023233e-05,1,1,20,1,41.93143825871674,11.839464920108256,1.2497212971225382,41.93143825871674,29.828874118161632
URB. MIRANDELA E-11,8.806913889383017e-05,12,20,20,11,191.6952752735457,26.15147899484664,8.141498177640935,173.93200652232906,78.2077249185508
TIERRA LINDA E-11,3.4931915384630124e-05,20,20,20,3,108.65946080436603,30.97487361727374,3.661566529837471,112.7168723644562,73.62717562700212
LA ALBORADA E-11,8.313824409194889e-05,13,20,20,20,173.30327423231392,52.665515971796,10.11800553152731,175.89763462501324,115.18960143584938
LA CAMPIÑA I SECTOR E-11,4.641301072553492e-05,9,4,20,5,159.30054008862146,53.60844371748068,3.1298342888948296,161.948861409994,106.8958787899465
LA CAMPIÑA II SECTOR E-11,4.641301072553492e-05,9,4,20,5,159.30054008862146,53.60844371748068,3.1298342888948296,161.948861409994,106.8958787899465
EL PINAR E-11,2.542151599157532e-05,1,1,20,4,60.95127096637746,17.209770625800694,1.8165868993900731,60.95127096637746,43.35906099333675
CIUDAD JARDIN E-11,4.441699584419534e-05,20,8,20,8,127.51233523818254,22.48945652589765,2.2345293343039336,131.47682276678628,89.4532549635865
PRADO VERANIEGO NORTE E-11,6.250955853017726e-05,1,0,20,2,179.452473797424,31.650181924701126,3.144729614313253,185.03183279056043,125.89062746331442
BILBAO II ETAPA E-11,3.0185725198160468e-05,10,2,20,6,99.28904263256648,45.66479607201799,1.6837299110353,96.99304729933654,66.6348867821849
LA ESPERANZA BRITALIA E-11,2.3619764222370176e-05,5,2,20,4,81.06867317097756,27.28154845250026,1.5927850144423803,82.4164143370442,54.39973433941668
SANTA INES SANTA HELENA E-11,4.686358361519842e-05,4,7,20,8,112.36131567968071,31.72554795661573,3.3488078398649943,112.36131567968071,79.9307555462513
SAN PEDRO E-11,2.2902339135188565e-05,6,5,20,3,75.33200914841063,34.64653041512205,1.2774698365352266,73.5900048258626,50.556836561060784
CENTRO COMERCIAL BULEVAR E-11,2.6592446724878503e-05,10,6,20,7,76.34161016833728,13.464433223584642,1.3378122754202688,78.71514807634098,53.55564625150173
GRATAMIRA E-11,5.055514906418844e-05,15,9,20,6,145.13374875918225,25.59735987160252,2.543327423139994,149.64610386475317,101.81513974570105
ALMENDROS E-11,3.544721260012691e-05,18,19,20,7,84.98913522345131,23.996932298386252,2.533009520385216,84.98913522345131,60.45893776287871
EL SALITRE SUBA E-11,2.734832868642975e-05,2,5,20,3,65.571045912311,18.5141776693584,1.9542743095433868,65.571045912311,46.645442072522414
LOS PORTALES DEL NORTE III E-11,6.639666269707436e-05,7,9,20,12,202.1542047967112,45.63972230993235,8.681468917650175,201.41007888948403,150.3134332598859
CLUB BACATA E-11,6.639666269707436e-05,7,9,20,12,202.1542047967112,45.63972230993235,8.681468917650175,201.41007888948403,150.3134332598859
CALIMA NORTE E-11,6.639666269707436e-05,7,9,20,12,202.1542047967112,45.63972230993235,8.681468917650175,201.41007888948403,150.3134332598859
TURINGIA E-11,3.878463960906408e-05,20,5,20,10,92.99103479622464,26.256292177757544,2.7714975076521853,92.99103479622464,66.15126945896137
ALMIRANTE COLON E-11,3.148329526258143e-05,0,0,5,1,90.38226074557012,15.940794433362282,1.583860985366124,93.19233668734871,63.40553170449549
BOSQUES DE SAN JORGE E-11,3.148329526258143e-05,0,0,5,1,90.38226074557012,15.940794433362282,1.583860985366124,93.19233668734871,63.40553170449549
ALASKA E-11,0.0001891043628445,2,0,9,2,15.526012398753153,0.4948529848208176,0.3711397386156131,2.3505516778988835,2.3505516778988835
CASA BLANCA SUBA I E-11,3.9620230203245474e-05,0,1,15,3,57.72859011761668,7.866821899795459,1.9667054749488648,57.38152444556688,38.639978154877696
CASA BLANCA II E-11,3.9620230203245474e-05,0,1,15,3,57.72859011761668,7.866821899795459,1.9667054749488648,57.38152444556688,38.639978154877696
EL RETIRO E-11,0.0004052129310139,0,2,14,4,174.6932219830657,6.662029651896575,1.4804510337547945,62.91916893457876,99.19021926157122
EL PORVENIR E-11,0.0004052129310139,0,2,14,4,174.6932219830657,6.662029651896575,1.4804510337547945,62.91916893457876,99.19021926157122
ARRAYANES E-11,0.0003679837032791,0,0,7,0,30.21252103183265,0.9629488775086104,0.7222116581314578,4.5740071681659,4.5740071681659
ATENAS E-11,2.171819137367533e-05,6,11,20,6,31.644454398050424,4.312270338812483,1.0780675847031207,31.45420717722046,21.18085725240249
LOS NARANJOS E-11,1.681852928754586e-05,2,3,20,2,57.72521017535164,19.425914557750577,1.1341477062159768,58.68487361907285,38.73550627383798
FONTANAR DEL RIO E-11,8.966692207993783e-05,11,2,20,14,294.9388424720873,135.6476176837195,5.001532272137143,288.11857119190023,197.93942870942752
COSTA RICA E-11,2.320751856932629e-05,9,2,20,0,79.65374761125844,26.805392143234577,1.5649854694403422,80.97796608540027,53.45027295627015
SUBA CERROS II E-11,6.291663281713938e-05,0,0,2,1,91.67257456226766,12.49245505056954,3.123113762642385,91.1214368394484,61.359999807209206
SANTA TERESA E-11,4.4948352937079977e-05,1,0,20,4,154.27348467681827,51.91671927663205,3.031065945791392,156.8382327847956,103.52255999472138
TABERIN E-11,1.6677391482506937e-05,6,0,20,1,57.24079151303777,19.26289608599961,1.124630160709558,58.19240164902278,38.410445488849525
MIRADOR DE SUBA E-11,0.0001057723210283,6,2,20,3,253.60239735028583,71.60538278125718,7.558345960243811,253.60239735028583,180.40578384055627
